id,Request total time,Mean total time with Internet connection,Mean total time without Internet connection
1,1.707959,1.71466602,4.253785939
2,1.60958,1.71466602,4.253785939
3,1.644058,1.71466602,4.253785939
4,1.62977,1.71466602,4.253785939
5,1.799518,1.71466602,4.253785939
6,1.636532,1.71466602,4.253785939
7,1.700875,1.71466602,4.253785939
8,1.638327,1.71466602,4.253785939
9,1.552673,1.71466602,4.253785939
10,1.690422,1.71466602,4.253785939
11,1.547895,1.71466602,4.253785939
12,1.619954,1.71466602,4.253785939
13,1.622696,1.71466602,4.253785939
14,1.620614,1.71466602,4.253785939
15,1.814774,1.71466602,4.253785939
16,1.639204,1.71466602,4.253785939
17,1.695879,1.71466602,4.253785939
18,1.610265,1.71466602,4.253785939
19,1.812435,1.71466602,4.253785939
20,1.644257,1.71466602,4.253785939
21,1.618132,1.71466602,4.253785939
22,1.628804,1.71466602,4.253785939
23,1.68762,1.71466602,4.253785939
24,1.601617,1.71466602,4.253785939
25,1.727228,1.71466602,4.253785939
26,1.704222,1.71466602,4.253785939
27,1.709243,1.71466602,4.253785939
28,1.737457,1.71466602,4.253785939
29,1.817899,1.71466602,4.253785939
30,1.736112,1.71466602,4.253785939
31,1.628152,1.71466602,4.253785939
32,1.701154,1.71466602,4.253785939
33,1.749505,1.71466602,4.253785939
34,1.678419,1.71466602,4.253785939
35,1.709836,1.71466602,4.253785939
36,1.664774,1.71466602,4.253785939
37,1.736111,1.71466602,4.253785939
38,1.731214,1.71466602,4.253785939
39,1.635211,1.71466602,4.253785939
40,1.668489,1.71466602,4.253785939
41,1.584524,1.71466602,4.253785939
42,1.629688,1.71466602,4.253785939
43,1.708243,1.71466602,4.253785939
44,1.624885,1.71466602,4.253785939
45,1.647711,1.71466602,4.253785939
46,1.723096,1.71466602,4.253785939
47,1.721528,1.71466602,4.253785939
48,1.716368,1.71466602,4.253785939
49,1.705236,1.71466602,4.253785939
50,3.563136,1.71466602,4.253785939
51,3.509016,1.71466602,4.253785939
52,3.65066,1.71466602,4.253785939
53,3.57584,1.71466602,4.253785939
54,3.526258,1.71466602,4.253785939
55,5.514042,1.71466602,4.253785939
56,3.455722,1.71466602,4.253785939
57,5.581585,1.71466602,4.253785939
58,3.59371,1.71466602,4.253785939
59,3.624373,1.71466602,4.253785939
60,5.552203,1.71466602,4.253785939
61,3.491006,1.71466602,4.253785939
62,5.46927,1.71466602,4.253785939
63,3.551192,1.71466602,4.253785939
64,5.653822,1.71466602,4.253785939
65,3.542799,1.71466602,4.253785939
66,3.538493,1.71466602,4.253785939
67,5.587518,1.71466602,4.253785939
68,3.592968,1.71466602,4.253785939
69,5.722995,1.71466602,4.253785939
70,3.694638,1.71466602,4.253785939
71,3.678406,1.71466602,4.253785939
72,3.652794,1.71466602,4.253785939
73,5.664387,1.71466602,4.253785939
74,3.643061,1.71466602,4.253785939
75,3.74298,1.71466602,4.253785939
76,5.66906,1.71466602,4.253785939
77,3.645647,1.71466602,4.253785939
78,3.73363,1.71466602,4.253785939
79,5.711667,1.71466602,4.253785939
80,3.612947,1.71466602,4.253785939
81,3.705373,1.71466602,4.253785939
82,3.679442,1.71466602,4.253785939
83,5.687725,1.71466602,4.253785939
84,3.735629,1.71466602,4.253785939
85,3.649197,1.71466602,4.253785939
86,5.672649,1.71466602,4.253785939
87,3.722522,1.71466602,4.253785939
88,3.697743,1.71466602,4.253785939
89,5.765762,1.71466602,4.253785939
90,3.662359,1.71466602,4.253785939
91,3.624379,1.71466602,4.253785939
92,5.68036,1.71466602,4.253785939
93,3.684433,1.71466602,4.253785939
94,3.677432,1.71466602,4.253785939
95,3.740609,1.71466602,4.253785939
96,5.751142,1.71466602,4.253785939
97,3.69589,1.71466602,4.253785939
98,3.739118,1.71466602,4.253785939
99,3.681058,1.71466602,4.253785939
