id,request total time,cumulative average duration
1,2.6951,2.6951
2,1.8391,2.2671
3,1.824,2.1194
4,2.7303,2.272125
5,1.9054,2.19878
6,1.8432,2.139516667
7,2.6968,2.219128571
8,1.9109,2.1806
9,1.7999,2.1383
10,2.7574,2.20021
11,1.9246,2.175154545
12,1.8546,2.148441667
13,1.9491,2.133107692
14,2.6971,2.173392857
15,1.8782,2.153713333
16,1.9545,2.1412625
17,2.8176,2.181047059
18,1.8737,2.163972222
19,1.8146,2.145584211
20,1.9659,2.1366
21,2.7977,2.168080952
22,1.8048,2.151568182
23,1.8062,2.136552174
24,1.8888,2.126229167
25,2.8425,2.15488
26,1.8859,2.144534615
27,1.8708,2.134396296
28,1.9097,2.126371429
29,1.7985,2.115065517
30,2.6502,2.132903333
31,1.8736,2.12453871
32,1.7529,2.112925
33,1.841,2.104684848
34,2.7539,2.123779412
35,1.7841,2.114074286
36,1.8402,2.106466667
37,1.8831,2.10042973
38,1.853,2.093918421
39,2.6869,2.109123077
40,1.8459,2.1025425
41,1.8292,2.09587561
42,1.8743,2.0906
43,1.868,2.085423256
44,2.666,2.098618182
45,1.7862,2.091675556
46,1.8945,2.08738913
47,1.7742,2.080725532
48,1.7516,2.07386875
49,2.7155,2.086963265
50,2.019,2.085604
51,1.8204,2.080403922
52,6.398,2.163434615
53,2.8246,2.175909434
54,4.1783,2.212990741
55,3.4803,2.236032727
56,2.7161,2.244605357
57,10.0179,2.380978947
58,2.6943,2.386381034
59,12.5562,2.558750847
60,2.6511,2.56029
61,26.7374,2.956636066
62,2.7615,2.95348871
63,27.9311,3.34995873
64,19.6766,3.6050625
65,27.8932,3.978726154
66,20.6195,4.230859091
67,25.1673,4.543343284
68,2.7489,4.516954412
69,2.6817,4.490356522
70,27.853,4.824108571
71,21.0828,5.053104225
72,23.5911,5.310576389
73,2.7403,5.275367123
74,23.0473,5.515528378
75,3.0685,5.482901333
76,2.8212,5.447878947
77,19.9726,5.636511688
78,2.7265,5.599203846
79,22.05,5.807441772
80,2.7474,5.76919125
81,2.9295,5.734133333
82,23.2337,5.947542683
83,2.6935,5.908337349
84,25.8534,6.145778571
85,2.7095,6.105351765
86,2.7936,6.066843023
87,24.8896,6.283196552
88,2.7973,6.243584091
89,2.6903,6.203659551
90,8.2159,6.226017778
91,2.7472,6.187789011
92,22.9796,6.370308696
93,2.795,6.331864516
94,2.6753,6.292964894
95,25.9248,6.499615789
96,2.7841,6.4609125
97,2.7276,6.422424742
98,19.4394,6.55525102
99,2.838,6.51770303
100,2.7019,6.479545
101,11.8179,6.5324
102,2.7607,6.495422549
103,2.7354,6.458917476
104,14.9675,6.540730769
105,2.7216,6.504358095
106,2.7311,6.468761321
107,2.7311,6.433829907
108,22.5011,6.582600926
109,2.821,6.548090826
110,2.79,6.513926364
111,27.9205,6.706778378
112,16.7432,6.796389286
113,2.8735,6.761673451
114,7.6723,6.769661404
115,2.7669,6.734854783
116,3.0698,6.703259483
117,28.0496,6.885706838
118,20.297,6.999361864
119,2.7236,6.963431092
120,2.7005,6.927906667
121,28.0936,7.102829752
122,19.5702,7.205021311
123,2.7479,7.168784553
124,2.7843,7.133425806
125,28.1107,7.301244
126,21.7153,7.41564127
127,2.7478,7.378886614
128,2.6945,7.342289844
129,14.7826,7.399966667
130,2.7695,7.364347692
131,2.7011,7.328750382
132,14.9666,7.386612879
133,2.7093,7.351445113
134,2.6792,7.316577612
135,2.7808,7.282979259
136,22.5858,7.3955
137,2.8421,7.362263504
138,2.7163,7.328597101
139,2.7213,7.295451079
140,2.8155,7.263451429
141,22.5063,7.371556738
142,2.7166,7.338775352
143,2.7414,7.306625874
144,2.8705,7.275819444
145,21.6443,7.374912414
146,2.7419,7.343179452
147,2.7501,7.311934014
148,2.6955,7.280741892
149,20.9194,7.37227651
150,2.7151,7.341228667
151,2.7171,7.310605298
152,2.7931,7.280884868
153,2.7591,7.251330719
154,19.5501,7.331192857
155,2.8394,7.302213548
156,2.8658,7.273775
157,2.7261,7.244808917
158,2.8368,7.216910127
159,27.8259,7.346526415
160,20.355,7.427829375
161,3.2651,7.401973913
162,2.748,7.373245679
163,19.9054,7.450130061
164,2.7499,7.421470122
165,2.8017,7.393471515
166,2.7763,7.365657229
167,2.8073,7.338361677
168,2.7188,7.310864286
169,27.8239,7.432243195
170,27.9358,7.552852353
171,18.7967,7.618605848
172,2.7836,7.590495349
173,2.7499,7.562515029
174,20.7273,7.638174713
175,2.8989,7.611093143
176,2.8296,7.583925568
177,2.8378,7.557111299
178,2.7398,7.530047753
179,24.6978,7.625956983
180,2.8206,7.599260556
181,2.8321,7.572922652
182,2.8242,7.546830769
183,2.7474,7.520604372
